video_id,category_id,views,likes,dislikes,comment_count
-0NYY8cqdiQ,24,563746,4429,54,94
-1Hm41N0dUs,23,2058516,41248,580,1490
-2aVkGcI7ZA,10,2390558,41016,1642,977
-2wRFv-mScQ,17,1036300,12984,383,714
-35jibKqbEo,10,2425578,129381,1522,8757
-37nIo_tLnk,17,3170,4,0,1
-39ysKKpE7I,17,385104,4028,343,1507
-3h4Xt9No9o,25,373184,8670,334,880
-3nEHRN6IPg,26,266142,10697,389,1035
-4s2MeUgduo,28,437732,49907,626,1479
-5aaJJQFvOg,10,1168351,135280,1917,6282
-66xHRJSPxs,24,1431462,29689,943,3617
-7UzyXO-mzk,15,2620061,59416,1201,8529
-7_ATlZ-zMc,17,3510260,28252,1695,2379
-8ZHXaGILlc,17,252542,760,100,111
-AY-HC4sUGU,28,481259,431,43,225
-BDImdAfodA,10,1307790,34007,1433,3533
-BQJo3vK8O8,10,87264467,815369,71494,35945
-CS84oCtjvc,28,1114313,21968,782,3212
-C_rvt0SwLE,10,11773962,397715,6677,20481
-EL8TuMsb-k,26,565288,20907,423,2276
-HoAafTYR9w,25,50669,411,157,503
-HrakxB4Klo,28,125684,3948,200,1692
-IqpbDJFbZA,28,1230476,52468,521,2099
-KB5QbOS4s4,23,1029141,26448,990,3284
-L4RYm9Tq7I,25,182121,4982,160,1968
-NEhvlJA5q8,25,330827,1255,436,3185
-NIP2zgVsRY,15,837697,22133,445,4529
-NcG4L0pwvE,26,422918,19968,487,4757
-Q5pHm2Cfq4,2,117973,647,51,56
-QR-TB_k20M,24,23877,93,30,20
-Qv6p6pTz5I,24,8955556,233690,3308,15097
-R9F2_D76TE,27,359141,8950,326,1223
-SJywvgaJEI,22,1454240,141516,1841,23989
-V1Oo7srGf0,1,70891,5155,129,781
-WRcZ9xHMuE,28,1241197,11315,842,2504
-WedqN1iYbM,10,49638,633,19,58
-YRlVB6Qgug,24,723523,16290,505,461
-_jlqATo9eo,24,27659,136,33,25
-a12nTEcoqE,24,192909,2343,484,717
-cQoGwpDBPs,22,3438,18,0,0
-e-xXN-tcFU,10,618185,8683,516,1157
-hI5Ds3IgVM,26,891462,47610,596,2480
-hg9t3PdhFE,22,102560,768,1452,1232
-hg_VRwS5RI,24,116082,7449,72,1249
-kETYvHON_I,27,597049,18464,1054,1672
-kTWIm7m4Uw,23,3276264,330924,1801,48776
-knTMViJqMU,25,25741,916,109,316
-l7TOYJZBtI,24,709569,36120,217,3464
-lgcAySBbTA,22,4518449,179304,2030,5875
-m3L9lA5_tA,25,44262,82,4,16
-mvfLtZTe3Q,25,443498,911,145,373
-nbm90xAhWY,24,249572,7944,301,1431
-oCQn2VkStI,28,379176,18179,3094,3973
-p-PToD2URA,28,1891032,40715,1196,2799
-p2lhxUqMMQ,27,398058,17874,257,2103
-pCzLbCCppo,27,294810,8305,211,886
-ppaazmNIgA,24,588513,4234,445,329
-s3j-ptJD10,27,817600,25447,452,2114
-sXnoM6rDB4,22,738118,30875,881,2327
-t1q78GYNww,26,133022,4995,238,1138
-txKpma65ZU,22,457513,5958,2114,853
-wuvYC0x5lc,24,1542228,20254,1199,1342
-xAMnJgc3oA,10,594958,19903,362,1192
-yMXWp-Fh3g,26,221336,6877,219,1538
-zrJwYFJtZo,15,564733,16190,232,2413
0-_h-qFt_zs,10,26117,1178,11,79
0-yiRIWkhLo,23,319104,8929,130,462
00RpZZThSAs,24,1217872,38111,2850,7038
00mdcc9o28A,23,628234,12672,208,701
01AEuxSlIMg,2,275180,942,75,140
02N508BDngc,27,1199750,45344,1072,6101
02e9klKUN0Y,24,586498,1367,117,169
04aPsalAZQI,23,219193,9496,263,991
07JQ4WZJIbg,1,89872,431,90,93
07S_Glj3uYs,10,1509716,77243,1665,4279
07Um1PY_P4o,24,461945,5063,589,710
08OhPK2BVIU,23,4625928,377131,4362,18752
08l0K3UyUXE,25,584861,4221,772,1176
0AWUKX5D_ak,24,17732,174,2,11
0C3pC-uonZU,15,32558,1217,78,116
0DVNtFA-_wA,24,126986,2873,1474,368
0EPY1CKFecs,23,2958978,66699,6499,10822
